"user_id","screen_name","text","is_retweet","favorite_count","retweet_count","hashtags","reply_to_screen_name","mentions_screen_name","retweet_screen_name"
"759251","CNN","The 2020 Democratic primary race added two more candidates this weekend: Sen. Elizabeth Warren and Sen. Amy Klobuchar. CNN's @ForecasterEnten breaks down their strengths and weaknesses as the field of contenders grows https://t.co/3gYrNLaVXY https://t.co/agGByXOKnW",TRUE,0,20,NA,NA,"NewDay","NewDay"
"759251","CNN","Denver teachers are set to go on strike today. But 92,000 kids are still supposed to go to school https://t.co/eG3bJm5V0I https://t.co/Dcl0abNjjX",FALSE,295,102,NA,NA,NA,NA
"759251","CNN","5 things for Monday:

- Border security talks
- Syria
- Denver teachers' strike
- Washington state snowstorm
- Grammys

https://t.co/3ooZAJQsU7 https://t.co/HZi0UswXYb",FALSE,121,37,NA,NA,NA,NA
"759251","CNN","Denver teachers are set to go on strike today. But 92,000 kids are still supposed to go to school https://t.co/LW5d5RGAzv https://t.co/OIQ6WuFkUr",FALSE,150,52,NA,NA,NA,NA
"759251","CNN","Washington on the brink as new government shutdown looms | Analysis by @StCollinson https://t.co/hIvwT7TlUS https://t.co/Hc1f4udViF",FALSE,108,51,NA,NA,"StCollinson",NA
"759251","CNN","10 ways to get healthier after age 60 https://t.co/6PueA5cWII https://t.co/Rm7tLgS47n",FALSE,148,49,NA,NA,NA,NA
"759251","CNN","A Long Island school district is investigating reports that a picture of nooses labeled ""back to school necklaces"" was displayed in a middle school classroom https://t.co/kBZFQJyMkF https://t.co/TQPxhyoLJe",FALSE,131,64,NA,NA,NA,NA
"759251","CNN","Polar bears are increasingly coming into contact with humans as climate change reduces their sea-ice habitats, forcing them on land for longer periods of time https://t.co/kpa92JUX2U",FALSE,520,302,NA,NA,NA,NA
"759251","CNN","Thai Princess Ubolratana Rajakanya has been disqualified from running for prime minster after her brother, King Maha Vajiralongkorn, said her nomination would be ""inappropriate."" https://t.co/EBCwI3hTdA https://t.co/MDu6lbpxH8",FALSE,115,122,NA,NA,NA,NA
"759251","CNN","The best of the #BAFTA red carpet https://t.co/hAkjmZbDQn https://t.co/1ILDKybIEF",FALSE,238,41,"BAFTA",NA,NA,NA
"759251","CNN","Since the Parkland students started confronting lawmakers about gun control, 67 gun safety laws have been enacted in 26 states and Washington, DC. https://t.co/gtJpcoMTBC",FALSE,991,285,NA,NA,NA,NA
"759251","CNN","K-pop sensations BTS used the #GrammyAwards2019 red carpet to showcase the work of South Korean designers https://t.co/xU6JMkuT4t https://t.co/S5AS2Sz6Nm",TRUE,0,134,"GrammyAwards2019",NA,"nni","cnni"
"759251","CNN","Pink was everywhere on the #GrammyAwards2019 red carpet https://t.co/CdPyOvJkF7 https://t.co/4GZ3BE6u9w",FALSE,360,66,"GrammyAwards2019",NA,NA,NA
"759251","CNN","Knife crime offenders in London will be tagged with GPS tracking devices after leaving prison https://t.co/2SnaJjZvsz",FALSE,188,61,NA,NA,NA,NA
"759251","CNN","It has already been the snowiest February in Seattle in 70 years -- and there's more to come https://t.co/kNvpxUPtuD https://t.co/7LoVNg9n3c",FALSE,248,71,NA,NA,NA,NA
"759251","CNN","Denver teachers are set to strike Monday. 

Some tell CNN they’ve been living paycheck to paycheck and have taken on second jobs as ride-share drivers or waiters. Here are their stories. https://t.co/apAx7AVb41 https://t.co/yeAktqxLNN",FALSE,173,57,NA,NA,NA,NA
"759251","CNN","JUST IN: Thai Princess Ubolratana Rajakanya has been disqualified from running for prime minster after her brother, King Maha Vajiralongkorn, said her nomination would be ""inappropriate."" https://t.co/TN0w1hU7wZ https://t.co/pA6krc8ZSA",TRUE,0,291,NA,NA,"nni","cnni"
"759251","CNN","Someone stole $118,000 worth of bonsai trees from a garden in Japan, including a rare 400-year-old juniper https://t.co/CocrSS05Dm https://t.co/vpM9eJUicO",FALSE,336,162,NA,NA,NA,NA
"759251","CNN","More than 40% of insect species could become extinct in the next few decades due to pesticide use and other factors, and that could be ""catastrophic"" for the planet https://t.co/WsnkMdSNcm",FALSE,273,194,NA,NA,NA,NA
"759251","CNN","Jill Abramson continues to claim that passages from her new book, ""Merchants of Truth,"" weren't plagiarized, but instead were improperly credited https://t.co/xmvUQK0Wu4 https://t.co/pcV0dwaJKQ",FALSE,41,14,NA,NA,NA,NA
"759251","CNN","Can Cory Booker's message of love and unity beat Trump in 2020? https://t.co/tXPS4vjNVP https://t.co/aDHYh2wVZL",FALSE,129,25,NA,NA,NA,NA
"759251","CNN","The Saudi coalition promised not to transfer weapons it buys from the US to third parties. But an investigation shows it's putting them in the hands of al Qaeda-linked fighters and hardline Salafi militias waging war on behalf of the coalition in Yemen. https://t.co/o77ZHBlCKR",FALSE,286,166,NA,NA,NA,NA
"759251","CNN","What can the newest presidential campaign logos tell us about 2020? https://t.co/hbSkzyd65l https://t.co/amVm83ug9l",FALSE,87,31,NA,NA,NA,NA
"759251","CNN","Sen. Elizabeth Warren said President Trump ""may not even be a free person,"" by 2020 https://t.co/HssI0relKC https://t.co/apVWLbJewL",FALSE,358,73,NA,NA,NA,NA
"759251","CNN","A migrant rescue ship was renamed in honor of Syrian boy Alan Kurdi. The disturbing image of his death showed to the world the dangers that Syrian refugees faced as they fled their country amid a devastating civil war. https://t.co/WyqbiVyZXf https://t.co/cBm4FGyrz4",FALSE,184,56,NA,NA,NA,NA
"759251","CNN","A rabbi was worried no one would come to a 85-year-old Holocaust survivor's funeral. 

200 people showed up after he put out a call on Facebook. https://t.co/dIEj0hyTGg https://t.co/HWDAqpsKDz",FALSE,505,92,NA,NA,NA,NA
"759251","CNN","From BTS to Cardi B, take a look at the boldest red carpet fashion from this year's Grammy Awards https://t.co/GyVYr7Okbt https://t.co/X6SsoqKbVo",FALSE,1799,536,NA,NA,NA,NA
"759251","CNN","Acting US Defense Secretary Patrick Shanahan has landed in Afghanistan for an unannounced visit https://t.co/5HvsrLyEHw https://t.co/wAoDGMFRw1",FALSE,139,47,NA,NA,NA,NA
"759251","CNN","Music might be having a bigger impact on you than you think https://t.co/8wpRg4F0Py",FALSE,281,90,NA,NA,NA,NA
"759251","CNN","America could be sliding toward a new government shutdown, as another knife-edge week opens in Washington | Analysis by @stcollinson https://t.co/IHxO6mzj6N",FALSE,103,49,NA,NA,"StCollinson",NA
"759251","CNN","Alicia Keys, the first female host of the Grammy Awards show in 14 years, tackled the job with her signature super-chill approach that brought a calming energy, class and cool to music's biggest night https://t.co/58nti3iGO5 https://t.co/PF2r2mSUau",FALSE,1219,200,NA,NA,NA,NA
"759251","CNN","A man allegedly drove his truck onto the sidewalk of a busy street, striking 9 pedestrians before hitting a tree, according to police. https://t.co/14zoE2NnF2 https://t.co/FurcwcDfL0",FALSE,85,42,NA,NA,NA,NA
"759251","CNN","""I'm afraid someone is going to murder me.""

Days before her body was found inside a suitcase, Valerie Reyes called her mother terrified someone would kill her. https://t.co/4QpZX34DpV https://t.co/5YdNmd1i2B",FALSE,230,117,NA,NA,NA,NA
"759251","CNN","Dolly Parton received an all-star tribute fit for a country music queen at the Grammy Awards https://t.co/fEJbTBbzy3 https://t.co/eSzvXOEEyv",FALSE,525,73,NA,NA,NA,NA
"759251","CNN","Childish Gambino makes history, a first lady makes a cameo and women take over the show. 

Here's what happened at the Grammys. https://t.co/I38BqidWMD https://t.co/3RHLKiBRK2",FALSE,480,66,NA,NA,NA,NA
"759251","CNN","Virginia Gov. Ralph Northam refers to enslaved Africans as ""indentured servants from Africa"" https://t.co/p5DUZ8Ggq2 https://t.co/SaIzvcC1UR",FALSE,104,44,NA,NA,NA,NA
"759251","CNN","Officer used Taser on man's genitals, says lawsuit accusing Arizona police of torture https://t.co/i4RWOTF3Zd https://t.co/OgkHkWd6yL",FALSE,151,58,NA,NA,NA,NA
"759251","CNN","Kendrick Lamar, Drake and Childish Gambino reportedly turned down the Grammys https://t.co/fPk1GLQM8g https://t.co/J0hw9HeF9T",FALSE,874,193,NA,NA,NA,NA
"759251","CNN","Alicia Keys, the first female host of the Grammy Awards show in 14 years, tackled the job with her signature super-chill approach that brought a calming energy, class and cool to music's biggest night https://t.co/WnmP8qTkuU https://t.co/wN2pmHGLHI",FALSE,2780,448,NA,NA,NA,NA
"759251","CNN","The United States has sailed two warship close to disputed islands in the South China Sea https://t.co/0whaJ2BURw",FALSE,284,152,NA,NA,NA,NA
"759251","CNN","Former first lady Michelle Obama made a surprise appearance at the 2019 Grammy Awards. She was greeted with deafening applause before delivering a unifying message about music. https://t.co/nwicFSqQXH https://t.co/i162kjCs58",FALSE,5722,1112,NA,NA,NA,NA
"759251","CNN","Wild boars have recently run amok in Hong Kong's financial district, roamed among airplanes at the airport, and wreaked havoc in a shopping mall. Here's why: https://t.co/qlnFcxraNd https://t.co/sILaJ1aPat",FALSE,416,160,NA,NA,NA,NA
"759251","CNN","Childish Gambino makes history, a first lady makes a cameo and women take over the show. 

Here's what happened at the Grammys. https://t.co/VhC9UirQ1F https://t.co/NEB6d0Nr4Q",FALSE,719,104,NA,NA,NA,NA
"759251","CNN","""Golden Hour” by Kacey Musgraves wins album of the year #Grammys https://t.co/sXOt7Xolld https://t.co/fJHekBNkaa",TRUE,0,575,"Grammys",NA,"CNN","CNN"
"759251","CNN","""Golden Hour” by Kacey Musgraves wins album of the year #Grammys https://t.co/sXOt7Xolld https://t.co/fJHekBNkaa",FALSE,2656,575,"Grammys",NA,NA,NA
"759251","CNN","“This Is America” by Childish Gambino wins record of the year #Grammys https://t.co/ywBsTGFORy https://t.co/udmSgHIayN",FALSE,4073,901,"Grammys",NA,NA,NA
"759251","CNN","“Invasion Of Privacy” by Cardi B wins best rap album #Grammys https://t.co/rJeRLVkdEH https://t.co/yyxhFKtOnX",FALSE,2582,561,"Grammys",NA,NA,NA
"759251","CNN","“H.E.R.” by H.E.R. wins best R&amp;B album #Grammys https://t.co/lqbQOhDnSa https://t.co/bqdnv3lgNI",FALSE,1205,246,"Grammys",NA,NA,NA
"759251","CNN","Dua Lipa wins best new artist #Grammys https://t.co/bk3nwvwQea https://t.co/eVc8Da7Dkp",FALSE,2506,491,"Grammys",NA,NA,NA
"759251","CNN","Drake calls out Grammys race problem during acceptance speech: ""I promise you, you already won."" https://t.co/BwrMtMrB71 https://t.co/Dlwvn7gkIE",FALSE,2248,570,NA,NA,NA,NA
