"from","to","type","count"
"UpshotNYT","Nate_Cohn","mention",3
"UpshotNYT","Nate_Cohn","retweet",1
"UpshotNYT","nytgraphics","mention",3
"UpshotNYT","nytgraphics","retweet",3
"UpshotNYT","nytimesbooks","mention",1
"UpshotNYT","nytimesbooks","retweet",1
"uugwuu","AsteadWesley","mention",2
"uugwuu","AsteadWesley","retweet",2
"uugwuu","gilbertcruz","mention",2
"uugwuu","gilbertcruz","reply",1
"uugwuu","gilbertcruz","retweet",1
"uugwuu","MichaelPaulson","mention",1
"vikasbajaj","BrentNYT","mention",2
"vikasbajaj","BrentNYT","retweet",1
"vikasbajaj","kevinroose","mention",1
"vikasbajaj","kevinroose","retweet",1
"winguero","HirokoTabuchi","mention",1
"winguero","HirokoTabuchi","retweet",1
"winguero","jakesilverstein","mention",1
"winguero","jakesilverstein","retweet",1
"winguero","kimmelman","mention",1
"winguero","NYTArchives","mention",1
"winguero","NYTArchives","retweet",1
